task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,anneal_ent,episodic_reward.mean,episodic_reward.count,reward.mean,charts/SPS
RockPaperScissors,{},256,0.001,64,2,0.99,0.003,512,False,1.13232421875,4096,1.13232421875,4904
RockPaperScissors,{},256,0.003,64,2,0.99,0.003,512,False,0.7734375,4096,0.7734375,4773
RockPaperScissors,{},256,0.01,64,2,0.99,0.003,512,False,1.005859375,4096,1.005859375,4789
RockPaperScissors,{},256,0.0003,64,2,0.99,0.003,256,False,1.1220703125,4096,1.1220703125,2981
RockPaperScissors,{},256,0.001,64,2,0.99,0.003,256,False,1.029296875,4096,1.029296875,2844
RockPaperScissors,{},256,0.003,64,2,0.99,0.003,256,False,0.59765625,4096,0.59765625,3076
RockPaperScissors,{},256,0.01,64,2,0.99,0.003,256,False,0.595703125,4096,0.595703125,3061
RockPaperScissors,{},256,0.0003,64,2,0.99,0.003,1024,True,1.091796875,4096,1.091796875,6597
RockPaperScissors,{},256,0.001,64,2,0.99,0.003,1024,True,1.12646484375,4096,1.12646484375,6590
RockPaperScissors,{},256,0.003,64,2,0.99,0.003,1024,True,1.103515625,4096,1.103515625,6798
RockPaperScissors,{},256,0.0003,64,2,0.99,0.003,512,True,1.09814453125,4096,1.09814453125,4889
RockPaperScissors,{},256,0.001,64,2,0.99,0.003,512,True,1.14453125,4096,1.14453125,4943
RockPaperScissors,{},256,0.003,64,2,0.99,0.003,512,True,1.11767578125,4096,1.11767578125,4849
RockPaperScissors,{},256,0.01,64,2,0.99,0.003,512,True,1.0146484375,4096,1.0146484375,4961
RockPaperScissors,{},256,0.0003,64,2,0.99,0.003,256,True,1.13134765625,4096,1.13134765625,3082
RockPaperScissors,{},256,0.001,64,2,0.99,0.003,256,True,1.09228515625,4096,1.09228515625,3083
RockPaperScissors,{},256,0.003,64,2,0.99,0.003,256,True,1.10498046875,4096,1.10498046875,3173
RockPaperScissors,{},256,0.01,64,2,0.99,0.003,256,True,1.0166015625,4096,1.0166015625,3177
Procgen:Plunder,{},256,0.001,64,2,0.99,0.003,1024,False,1.954545497894287,22,0.011962890625,2637
Procgen:Plunder,{},256,0.0003,64,2,0.99,0.003,1024,False,1.736842155456543,19,0.0126953125,2631
Procgen:Plunder,{},256,0.003,64,2,0.99,0.003,1024,False,3.1764705181121826,17,0.015380859375,2676
Procgen:Plunder,{},256,0.01,64,2,0.99,0.003,1024,False,2.25,32,0.015869140625,2677
Procgen:Plunder,{},256,0.0003,64,2,0.99,0.003,512,False,2.2592592239379883,27,0.013671875,2116
Procgen:Plunder,{},256,0.001,64,2,0.99,0.003,512,False,2.6451613903045654,31,0.0146484375,2154
Procgen:Plunder,{},256,0.003,64,2,0.99,0.003,512,False,2.2916667461395264,24,0.0146484375,2175
Procgen:Plunder,{},256,0.01,64,2,0.99,0.003,512,False,2.1363637447357178,22,0.013427734375,2117
Procgen:Plunder,{},256,0.001,64,2,0.99,0.003,256,False,3.04347825050354,23,0.014404296875,1559
Procgen:Plunder,{},256,0.0003,64,2,0.99,0.003,256,False,2.75,28,0.013671875,1562
Procgen:Plunder,{},256,0.003,64,2,0.99,0.003,256,False,3.2666666507720947,30,0.0126953125,1544
Procgen:Plunder,{},256,0.01,64,2,0.99,0.003,256,False,0,2,0,1616
Procgen:Plunder,{},256,0.0003,64,2,0.99,0.003,1024,True,1.5882352590560913,17,0.0166015625,2591
Procgen:Plunder,{},256,0.003,64,2,0.99,0.003,1024,True,2.8947367668151855,19,0.015380859375,2580
Procgen:Plunder,{},256,0.001,64,2,0.99,0.003,1024,True,1.576923131942749,26,0.0107421875,2566
Procgen:Plunder,{},256,0.01,64,2,0.99,0.003,1024,True,2.6315789222717285,19,0.014404296875,2628
Procgen:Plunder,{},256,0.0003,64,2,0.99,0.003,512,True,2.230769157409668,26,0.0126953125,2119
Procgen:Plunder,{},256,0.001,64,2,0.99,0.003,512,True,2.3684210777282715,19,0.0126953125,2112
Procgen:Plunder,{},256,0.003,64,2,0.99,0.003,512,True,3.1363637447357178,22,0.016357421875,2165
