task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,episodic_reward.mean,episodic_reward.count,reward.mean
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,8,2,0.99,0.03,512,0.01666666753590107,48,0.0005371093866415322
MultiArmedBandit,{},128,3e-05,128,2,0.99,0.03,2048,1,128,0.03125
MultiArmedBandit,{},128,3e-05,128,2,0.99,0.03,512,1,128,0.03125
MultiArmedBandit,{},128,3e-05,32,2,0.99,0.03,2048,0.97705078125,128,0.03070068359375
MultiArmedBandit,{},128,3e-05,32,2,0.99,0.03,512,1,128,0.03125
MultiArmedBandit,{},128,3e-05,8,2,0.99,0.03,2048,0.252197265625,128,0.0081329345703125
MultiArmedBandit,{},128,3e-05,8,2,0.99,0.03,512,0.978271484375,128,0.0306396484375
MoveToOrigin,{},128,3e-05,128,2,0.99,0.03,2048,0.964808225631714,128,0.0019406608771532776
MoveToOrigin,{},128,3e-05,128,2,0.99,0.03,512,0.9844745993614196,128,0.0021842694841325283
MoveToOrigin,{},128,3e-05,32,2,0.99,0.03,2048,0.31697189807891846,128,-0.008654508739709854
MoveToOrigin,{},128,3e-05,32,2,0.99,0.03,512,0.9287750124931335,128,0.0016217706725001335
MoveToOrigin,{},128,3e-05,8,2,0.99,0.03,2048,-0.1976810097694397,128,-0.013563535176217556
MoveToOrigin,{},128,3e-05,8,2,0.99,0.03,512,0.19562408328056335,128,-0.0073128449730575085
Minefield,"{""max_mines"": 10}",128,3e-05,128,2,0.99,0.03,2048,0.125,16,0.0009765625
Minefield,"{""max_mines"": 10}",128,3e-05,128,2,0.99,0.03,512,0.4000000059604645,15,0.0029296875
Minefield,"{""max_mines"": 10}",128,3e-05,32,2,0.99,0.03,2048,0,14,0
Minefield,"{""max_mines"": 10}",128,3e-05,32,2,0.99,0.03,512,0.09090909361839294,11,0.00048828125
Minefield,"{""max_mines"": 10}",128,3e-05,8,2,0.99,0.03,2048,0,15,0
Minefield,"{""max_mines"": 10}",128,3e-05,8,2,0.99,0.03,512,0.1111111119389534,9,0.00048828125
